,회사코드,회사명,종목코드,사업연도,금융부채,기타포괄손익-공정가치측정금융자산,당기손익-공정가치측정금융자산,보험계약부채,보험계약자산,부채총계,비유동부채,비유동자산,상각후원가측정금융자산,예수부채,유동부채,유동자산,이익잉여금,자본금,자본총계,자산총계,차입부채,파생상품부채,파생상품자산
99,102140,경인전자,9140,2017,,,,,,3793790435.0,604419231.0,13078871136.0,,,3189371204.0,46772541019.0,32313334599.0,7853985000.0,56057621720.0,59851412155.0,,,
100,102140,경인전자,9140,2018,,,,,,2774434031.0,587110306.0,13638205987.0,,,2187323725.0,43780371889.0,31265591061.0,7853985000.0,54644143845.0,57418577876.0,,,
101,102140,경인전자,9140,2019,,,,,,2407490833.0,485793289.0,11962157172.0,,,1921697544.0,44909126558.0,30792373695.0,7853985000.0,54463792897.0,56871283730.0,,,
102,102140,경인전자,9140,2020,,,,,,3767675908.0,1237130315.0,12364788131.0,,,2530545593.0,45470810297.0,31462460410.0,7853985000.0,54067922520.0,57835598428.0,,,
103,102140,경인전자,9140,2021,,,,,,6287918773.0,1260230300.0,16331012324.0,,,5027688473.0,49553740456.0,34778675895.0,7853985000.0,59596834007.0,65884752780.0,,,
104,102140,경인전자,9140,2022,,,,,,4422682389.0,1304855818.0,13866727020.0,,,3117826571.0,54518303281.0,38462994642.0,7853985000.0,63962347912.0,68385030301.0,,,
105,102140,경인전자,9140,2023,,,,,,4543732473.0,1555713980.0,16846828947.0,,,2988018493.0,58280426833.0,44377723118.0,7853985000.0,70583523307.0,75127255780.0,,,
106,102353,경창산업,24910,2015,,,,,,440942075289.0,161882863521.0,392371115273.0,,,279059211768.0,187504353785.0,,,138933393769.0,579875469058.0,,,
107,102353,경창산업,24910,2016,,,,,,467342431416.0,145779668184.0,414056714538.0,,,321562763232.0,199982613786.0,,,146696896908.0,614039328324.0,,,
108,102353,경창산업,24910,2017,,,,,,476571926957.0,156422995862.0,487185693235.0,,,320148931095.0,179914081634.0,70697404187.0,8780000000.0,190527847912.0,667099774869.0,,,
109,102353,경창산업,24910,2018,,,,,,474580770446.0,179616699963.0,461812591338.0,,,294964070483.0,176041604583.0,37758964084.0,17909502500.0,163273425475.0,637854195921.0,,,
110,102353,경창산업,24910,2019,,,,,,472454908929.0,164598368564.0,383818368682.0,,,307856540365.0,181047291382.0,-13344820793.0,17909502500.0,92410751135.0,564865660064.0,,,
111,102353,경창산업,24910,2020,,,,,,423107662740.0,149829314353.0,358256216923.0,,,273278348387.0,164030160132.0,-6693837595.0,17909502500.0,99178714315.0,522286377055.0,,,
112,102353,경창산업,24910,2021,,,,,,401978561043.0,156985671382.0,338188193049.0,,,244992889661.0,168771588750.0,-2849308057.0,17909502500.0,104981220756.0,506959781799.0,,,
113,102353,경창산업,24910,2022,,,,,,370925491050.0,129330598063.0,327967210694.0,,,241594892987.0,180073932666.0,28508829325.0,17909502500.0,137115652310.0,508041143360.0,,,
114,102353,경창산업,24910,2023,,,,,,356822542403.0,113263468375.0,322592684662.0,,,243559074028.0,184144704565.0,43968663031.0,17909502500.0,149914846824.0,506737389227.0,,,
115,102432,계룡건설산업,13580,2015,,,,,,906763334429.0,117984739796.0,482648227811.0,,,788778594633.0,742035242948.0,209980135423.0,44654535000.0,317920136330.0,1224683470759.0,,,
