,회사코드,회사명,종목코드,사업연도,당기순이익,당기순이익(손실),매출액,법인세차감전 순이익,순수수료손익,순이자손익,영업비용,영업이익,영업이익(손실),이자비용,이자수익,총포괄손익,파생상품관련손익
156,102858,고려아연,10130,2020,574828670832.0,574828670832.0,7581926858435.0,812413148037.0,,,,897387769203.0,,,,,
157,102858,고려아연,10130,2021,811106029144.0,811106029144.0,9976776443636.0,1139080147683.0,,,,1096146343693.0,,,,,
158,102858,고려아연,10130,2022,798264387415.0,798264387415.0,11219358600107.0,881480750499.0,,,,919171130822.0,,,,,
159,102858,고려아연,10130,2023,533378688122.0,533378688122.0,9704521343024.0,728073261478.0,,,,659935424598.0,,,,459960414380.0,
160,103006,고려제강,2240,2015,18346363930.0,18346363930.0,1473202476824.0,29097614248.0,,,,44349958108.0,,,,,
161,103006,고려제강,2240,2016,40289726891.0,40289726891.0,1417444526247.0,37680211315.0,,,,37017586322.0,,,,,
162,103006,고려제강,2240,2017,22450876891.0,22450876891.0,1550456862874.0,43143461954.0,,,,38829615701.0,,,,,
163,103006,고려제강,2240,2018,1876026611.0,1876026611.0,1577235683490.0,7887008927.0,,,,38019482740.0,,,,,
164,103006,고려제강,2240,2019,6058331604.0,6058331604.0,1639715935474.0,18328610455.0,,,,31651436724.0,,,,,
165,103006,고려제강,2240,2020,2725914319.0,2725914319.0,1397372009900.0,12425537088.0,,,,9831441983.0,,,,,
166,103006,고려제강,2240,2021,133312251875.0,133312251875.0,1691354877090.0,160655923087.0,,,,98526648327.0,,,,,
167,103006,고려제강,2240,2022,92322769549.0,92322769549.0,2072550223138.0,112085847739.0,,,,133503465388.0,,,,,
168,103006,고려제강,2240,2023,64526770048.0,64526770048.0,1788877688439.0,84953712146.0,,,,56316856694.0,,,,76562247041.0,
169,103042,케이씨티시,9070,2015,9071982622.0,9071982622.0,357046890073.0,11831614129.0,,,,13385079688.0,,,,,
170,103042,케이씨티시,9070,2016,8228580660.0,8228580660.0,349784212740.0,13018948197.0,,,,13666569628.0,,,,,
171,103042,케이씨티시,9070,2017,8994739627.0,8994739627.0,364550702040.0,12018817126.0,,,,11557153064.0,,,,,
172,103042,케이씨티시,9070,2018,7271930762.0,7271930762.0,400441294140.0,11131891961.0,,,,14962462778.0,,,,,
173,103042,케이씨티시,9070,2019,8204305326.0,8204305326.0,446166405761.0,10870119401.0,,,,19010561371.0,,,,,
174,103042,케이씨티시,9070,2020,13798003744.0,13798003744.0,488733779599.0,17038866740.0,,,,20961616726.0,,,,,
175,103042,케이씨티시,9070,2021,21324908411.0,21324908411.0,694737899435.0,26468774120.0,,,,29603505899.0,,,,,
176,103042,케이씨티시,9070,2022,28097629811.0,28097629811.0,920408668737.0,30673744913.0,,,,37534026539.0,,,,,
177,103042,케이씨티시,9070,2023,28570746258.0,28570746258.0,823125429680.0,32505484808.0,,,,36821207555.0,,,,25765980711.0,
178,103130,플레이그램,9810,2015,2158057644.0,2158057644.0,27036654276.0,2470447763.0,,,,-557356647.0,,,,,
179,103130,플레이그램,9810,2016,-1793172580.0,-1793172580.0,18298055179.0,-1865302072.0,,,,-2190037950.0,,,,,
180,103130,플레이그램,9810,2017,-7763485692.0,-7763485692.0,28103183005.0,-6742729511.0,,,,-2744101269.0,,,,,
181,103130,플레이그램,9810,2018,-14119687958.0,-14119687958.0,6528349633.0,-13244619471.0,,,,-1178757319.0,,,,,
182,103130,플레이그램,9810,2019,-3276104129.0,-3276104129.0,8774909615.0,-2826721283.0,,,,-1364413652.0,,,,,
183,103130,플레이그램,9810,2020,3639877574.0,3639877574.0,34094042677.0,4098831907.0,,,,-2409284459.0,,,,,
184,103130,플레이그램,9810,2021,-18015508627.0,-18015508627.0,40831807103.0,-17827549199.0,,,,-1511144382.0,,,,,
185,103130,플레이그램,9810,2022,-3943930162.0,-3943930162.0,131301686660.0,-1966402285.0,,,,-6864422815.0,,,,,
186,103130,플레이그램,9810,2023,-43211170123.0,-43211170123.0,214420293706.0,-43536432409.0,,,,-2591617556.0,,,,-44355931606.0,
187,103510,인지컨트롤스,23800,2015,8714718429.0,8714718429.0,659496345890.0,11957740539.0,,,,18220305398.0,,,,,
188,103510,인지컨트롤스,23800,2016,11542486160.0,11542486160.0,623987468864.0,14828637423.0,,,,18370072802.0,,,,,
189,103510,인지컨트롤스,23800,2017,-930762064.0,-930762064.0,540854542878.0,3790647240.0,,,,4993554866.0,,,,,
190,103510,인지컨트롤스,23800,2018,984497986.0,984497986.0,504149220299.0,4756760281.0,,,,11088638714.0,,,,,
191,103510,인지컨트롤스,23800,2019,-7814201486.0,-7814201486.0,494157938705.0,-7876769013.0,,,,5594453591.0,,,,,
192,103510,인지컨트롤스,23800,2020,-2665891114.0,-2665891114.0,458654121385.0,311496438.0,,,,-2884749740.0,,,,,
193,103510,인지컨트롤스,23800,2021,2392417371.0,2392417371.0,484855609029.0,3014187876.0,,,,2018548482.0,,,,,
194,103510,인지컨트롤스,23800,2022,11707604852.0,11707604852.0,570020850334.0,14127082294.0,,,,17050734417.0,,,,,
195,103510,인지컨트롤스,23800,2023,13037786232.0,13037786232.0,634018251095.0,18316743847.0,,,,20925835048.0,,,,14611834921.0,
196,103547,우진비앤지,18620,2018,-6632215498.0,-6632215498.0,28130628894.0,-6632215498.0,,,,-4798954863.0,,,,,
197,103547,우진비앤지,18620,2019,-13551503700.0,-13551503700.0,29655799738.0,126109172.0,,,,2023604636.0,,,,,
198,103547,우진비앤지,18620,2020,-896105936.0,-896105936.0,39524380436.0,-736633888.0,,,,663487705.0,,,,,
199,103547,우진비앤지,18620,2021,-1038911104.0,-1038911104.0,39347387678.0,-395890514.0,,,,266657254.0,,,,,
200,103547,우진비앤지,18620,2022,1012603381.0,1012603381.0,43703465297.0,666512641.0,,,,1155423595.0,,,,,
201,103547,우진비앤지,18620,2023,-1186831624.0,-1186831624.0,57919354665.0,-1764108060.0,,,,713664789.0,,,,-1850956346.0,
202,103592,광동제약,9290,2015,36083163108.0,36083163108.0,955453631838.0,49717778119.0,,,,50866462182.0,,,,,
203,103592,광동제약,9290,2016,27899595019.0,27899595019.0,1056428809485.0,40192546831.0,,,,44388946202.0,,,,,
204,103592,광동제약,9290,2017,23083087527.0,23083087527.0,1141565921007.0,33350815467.0,,,,35737450003.0,,,,,
205,103592,광동제약,9290,2018,21974420332.0,21974420332.0,1180219946714.0,31395894344.0,,,,33944903371.0,,,,,
206,103592,광동제약,9290,2019,22655801517.0,22655801517.0,1238254695797.0,36769594184.0,,,,41803237663.0,,,,,
207,103592,광동제약,9290,2020,45601967385.0,45601967385.0,1243769596221.0,62950970258.0,,,,46590713437.0,,,,,
208,103592,광동제약,9290,2021,25540744737.0,25540744737.0,1338181554321.0,34328684970.0,,,,44935683503.0,,,,,
209,103592,광동제약,9290,2022,26700699296.0,26700699296.0,1431545255139.0,36290716419.0,,,,38244441686.0,,,,,
210,103592,광동제약,9290,2023,39371762692.0,39371762692.0,1514454148123.0,49019336618.0,,,,42069819369.0,,,,40201136850.0,
211,103626,한솔피엔에스,10420,2021,3603360985.0,3603360985.0,262943327014.0,5432072370.0,,,,4551324744.0,,,,,
212,103626,한솔피엔에스,10420,2022,1771478736.0,1771478736.0,314246057568.0,2870110705.0,,,,2686828469.0,,,,,
213,103626,한솔피엔에스,10420,2023,-4228297744.0,-4228297744.0,311689112834.0,-6010586316.0,,,,-1816644406.0,,,,-4298983863.0,
214,103635,광림,14200,2016,-1896520639.0,-1896520639.0,87302966868.0,-1761267714.0,,,,171774379.0,,,,,
215,103635,광림,14200,2017,-23602050751.0,-23602050751.0,135191558190.0,-24855925418.0,,,,-12369550361.0,,,,,
216,103635,광림,14200,2018,-28445677511.0,-28445677511.0,136595300124.0,-32876114854.0,,,,-1044494092.0,,,,,
217,103635,광림,14200,2019,-6622398731.0,-6622398731.0,145864183870.0,-3612224851.0,,,,-10983156913.0,,,,,
218,103635,광림,14200,2020,-23823892882.0,-23823892882.0,161220310215.0,-23941293538.0,,,,8844914066.0,,,,,
