,bsns_year,corp_code,기말의현금,기초의현금,영업활동현금흐름,재무활동현금흐름,투자활동현금흐름
261,2019,00116824,23853211994.0,45649553255.0,21116824254.0,22934146102.0,-66097148942.0
262,2020,00116824,30083153030.0,23853211994.0,19749691460.0,-7757451341.0,-5729508147.0
263,2021,00116824,26109764579.0,30083153030.0,37952794157.0,7397426862.0,-49322085235.0
264,2022,00116824,24545002582.0,26109764579.0,41997355940.0,-20493158126.0,-23057140637.0
265,2023,00116824,60157563411.0,24545002582.0,46400745887.0,-17656427298.0,6870461736.0
266,2024,00116824,38013823686.0,60157563411.0,39235111724.0,-35063392517.0,-26321839170.0
267,2016,00116824,38980110401.0,49978583615.0,-3098903238.0,4639656264.0,-12540223026.0
268,2015,00116824,49978583615.0,97194090223.0,-3366829195.0,-20923086616.0,-23029617837.0
269,2015,00151395,3496921084.0,1980434770.0,3352561317.0,,-1836075003.0
270,2016,00151395,2287282491.0,3496921084.0,5207852605.0,-12849653280.0,6432162082.0
271,2017,00151395,2534515090.0,2287282491.0,-2097543779.0,-20391023220.0,22735799598.0
272,2018,00151395,1273324299.0,2534515090.0,-3544590831.0,-9832657194.0,12116057234.0
273,2019,00151395,1046077106.0,1273324299.0,6039371256.0,-3976220547.0,-2290397902.0
274,2020,00151395,4847894115.0,1046077106.0,2425678479.0,64950704.0,1311187826.0
275,2021,00151395,13293121705.0,4847894115.0,-5213401548.0,-3618379260.0,17277008398.0
276,2022,00151395,7608061241.0,13293121705.0,-1529633671.0,-4299308732.0,143881939.0
277,2023,00151395,2970916671.0,7608061241.0,-1393472826.0,-778083411.0,-2465588333.0
278,2024,00151395,1531998320.0,2970916671.0,-106686481.0,1221145453.0,-2553377323.0
279,2015,00164779,1014939000000.0,252078000000.0,7747769000000.0,-812874000000.0,-6171944000000.0
280,2016,00164779,476917000000.0,1014939000000.0,4787499000000.0,380031000000.0,-5709777000000.0
281,2017,00164779,2270036000000.0,476917000000.0,13570587000000.0,-386054000000.0,-11328061000000.0
282,2018,00164779,1741271000000.0,2270036000000.0,21313383000000.0,-1977162000000.0,-19864525000000.0
283,2019,00164779,1672492000000.0,1741271000000.0,4790532000000.0,700907000000.0,-5552601000000.0
284,2020,00164779,2202138000000.0,1672492000000.0,10890209000000.0,-98754000000.0,-10212923000000.0
285,2021,00164779,1608456000000.0,2202138000000.0,17746280000000.0,5259365000000.0,-23624691000000.0
286,2022,00164779,1637350000000.0,1608456000000.0,12556088000000.0,1907940000000.0,-14384779000000.0
287,2023,00164779,2898074000000.0,1637350000000.0,3591547000000.0,6927433000000.0,-9232773000000.0
288,2024,00164779,2992694000000.0,2898074000000.0,24197084000000.0,-6874365000000.0,-17268506000000.0
289,2015,00141307,37794315629.0,53319105523.0,102744730746.0,-18939379791.0,-99350603670.0
290,2016,00141307,122324413671.0,37794315629.0,61060447185.0,-13728169692.0,37046768555.0
291,2017,00141307,86121887023.0,122324413671.0,17521453202.0,40758991760.0,-94427449707.0
292,2018,00141307,79312885845.0,86121887023.0,104561740570.0,4730003247.0,-115941806658.0
293,2019,00141307,61533896062.0,79312885845.0,135002591625.0,-47447984290.0,-105332679303.0
294,2020,00141307,75438682226.0,61533896062.0,198077815398.0,-34404744695.0,-149767490320.0
295,2021,00141307,42874172971.0,75438682226.0,-70751082843.0,127842262267.0,-89650038112.0
296,2022,00141307,56460988250.0,42874172971.0,80792455258.0,-34923898993.0,-32281078604.0
297,2023,00141307,77940731748.0,56460988250.0,176743958014.0,12983985281.0,-168217924026.0
298,2024,00141307,5897798055.0,77940731748.0,-132166355219.0,142718200030.0,-82594724224.0
299,2015,00104698,3005758017.0,18954621323.0,5107510095.0,48032255873.0,-69098868544.0
300,2016,00104698,11164431956.0,3005758017.0,-34814054242.0,-110707890529.0,153676278936.0
301,2017,00104698,25411893586.0,11164431956.0,-2735939108.0,-32401956972.0,49433343479.0
