회사코드,회사명,종목코드,사업연도,금융상품관련순손익_당기,당기순이익_당기,당기순이익(손실)_당기,매출액_당기,법인세차감전 순이익_당기,순수수료손익_당기,순이자손익_당기,영업비용_당기,영업이익_당기,영업이익(손실)_당기,이자비용_당기,이자수익_당기,총포괄손익_당기,파생상품관련손익_당기,금융상품관련순손익_전기,당기순이익_전기,당기순이익(손실)_전기,매출액_전기,법인세차감전 순이익_전기,순수수료손익_전기,순이자손익_전기,영업비용_전기,영업이익_전기,영업이익(손실)_전기,이자비용_전기,이자수익_전기,총포괄손익_전기,파생상품관련손익_전기
101549,경동제약,11040,2023,,-12951968067.0,-12951968067.0,159643451076.0,-8622378925.0,,,,-24343732320.0,,,,-10363965751.0,,,3883522792.0,3883522792.0,179317305843.0,7293488915.0,,,,9121970668.0,,,,592879788.0,
101628,경방,50,2015,,21604723241.0,21604723241.0,307744479868.0,28221123638.0,,,,38629926181.0,,,,,,,14235817602.0,14235817602.0,256979443757.0,16934666295.0,,,,32095523654.0,,,,,
101628,경방,50,2016,,30977743178.0,30977743178.0,313876821724.0,33916322296.0,,,,42576774106.0,,,,,,,21604723241.0,21604723241.0,307744479868.0,28221123638.0,,,,38629926181.0,,,,,
101628,경방,50,2017,,25679379356.0,25679379356.0,288103984764.0,35942471314.0,,,,39411166732.0,,,,,,,30977743178.0,30977743178.0,313876821724.0,33916322296.0,,,,42576774106.0,,,,,
101628,경방,50,2018,,29198251556.0,29198251556.0,279085217032.0,36158802961.0,,,,38971835517.0,,,,,,,25679379356.0,25679379356.0,288103984764.0,35942471314.0,,,,39411166732.0,,,,,
101628,경방,50,2019,,22223943298.0,22223943298.0,253552382223.0,32508826225.0,,,,38966423699.0,,,,,,,29198251556.0,29198251556.0,279085217032.0,36158802961.0,,,,38971835517.0,,,,,
101628,경방,50,2020,,26011323090.0,26011323090.0,226061886053.0,25491924863.0,,,,25369343000.0,,,,,,,22223943298.0,22223943298.0,214619466802.0,38562264515.0,,,,46471239678.0,,,,,
101628,경방,50,2021,,23305943910.0,23305943910.0,271718425389.0,32166079126.0,,,,28677973851.0,,,,,,,26011323090.0,26011323090.0,226061886053.0,25491924863.0,,,,25369343000.0,,,,,
101628,경방,50,2022,,-2569789053.0,-2569789053.0,269780477532.0,-4888431247.0,,,,36897226944.0,,,,,,,23305943910.0,23305943910.0,271718425389.0,32166079126.0,,,,28677973851.0,,,,,
101628,경방,50,2023,,-3938595760.0,-3938595760.0,271010631391.0,6322076180.0,,,,35802156356.0,,,,-3981191220.0,,,-2569789053.0,-2569789053.0,269780477532.0,-4888431247.0,,,,36897226944.0,,,,-2652527610.0,
101664,경보제약,214390,2015,,26109623151.0,26109623151.0,178032632075.0,25532309339.0,,,,25632335257.0,,,,,,,8635953724.0,8635953724.0,169781246176.0,30034305195.0,,,,27668562994.0,,,,,
101664,경보제약,214390,2016,,12705929801.0,12705929801.0,186726169857.0,15643086025.0,,,,15594226584.0,,,,,,,26109623151.0,26109623151.0,178032632075.0,25532309339.0,,,,25632335257.0,,,,,
101664,경보제약,214390,2017,,17963309611.0,17963309611.0,191661374451.0,24261038579.0,,,,24586649142.0,,,,,,,12705929801.0,12705929801.0,186726169857.0,15643086025.0,,,,15594226584.0,,,,,
101664,경보제약,214390,2018,,13116049385.0,13116049385.0,201343595542.0,17643547701.0,,,,17266574829.0,,,,,,,17963309611.0,17963309611.0,191661374451.0,24261038579.0,,,,24586649142.0,,,,,
101664,경보제약,214390,2019,,5285239394.0,5285239394.0,191706189111.0,6982153648.0,,,,6194072642.0,,,,,,,13116049385.0,13116049385.0,201343595542.0,17643547701.0,,,,17266574829.0,,,,,
