,회사코드,회사명,종목코드,사업연도,기타포괄손익-공정가치측정금융자산,당기손익-공정가치측정금융자산,보험계약부채,보험계약자산,부채총계,비유동부채,비유동자산,상각후원가측정금융자산,예수부채,유동부채,유동자산,이익잉여금,자본금,자본총계,자산총계,차입부채,파생상품부채,파생상품자산
98,101752,케이씨피드,25880,2017,,,,,46598640070.0,6751354836.0,51802710723.0,,,39847285234.0,53756598910.0,41809691746.0,8357929000.0,58960669563.0,105559309633.0,,,
99,101752,케이씨피드,25880,2018,,,,,45691366326.0,12523184726.0,54699531935.0,,,33168181600.0,50218053642.0,42075241434.0,8357929000.0,59226219251.0,104917585577.0,,,
100,101752,케이씨피드,25880,2019,,,,,46901306067.0,7662123975.0,48308820671.0,,,39239182092.0,51197446812.0,35453983599.0,8357929000.0,52604961416.0,99506267483.0,,,
101,101752,케이씨피드,25880,2020,,,,,46073846473.0,11267144369.0,49110281244.0,,,34806702104.0,50554728216.0,36440185170.0,8357929000.0,53591162987.0,99665009460.0,,,
102,101752,케이씨피드,25880,2021,,,,,35782284242.0,5283176402.0,40591098238.0,,,30499107840.0,50952519904.0,38610356083.0,8357929000.0,55761333900.0,91543618142.0,,,
103,101752,케이씨피드,25880,2022,,,,,34388962246.0,2248002095.0,44473051701.0,,,32140960151.0,49257463084.0,42190574722.0,8357929000.0,59341552539.0,93730514785.0,,,
104,101752,케이씨피드,25880,2023,,,,,28306399555.0,1730538657.0,50135677566.0,,,26575860898.0,42202987219.0,46881287413.0,8357929000.0,64032265230.0,92338664785.0,,,
105,102113,경인양행,12610,2015,,,,,87875136367.0,6040818501.0,160604818256.0,,,81834317866.0,113173448012.0,132695354812.0,,185903129901.0,273778266268.0,,,
106,102113,경인양행,12610,2016,,,,,99013668715.0,5460768771.0,163670650161.0,,,93552899944.0,126364738535.0,134468521439.0,,191021719981.0,290035388696.0,,,
107,102113,경인양행,12610,2017,,,,,106064981943.0,12170122056.0,171846418665.0,,,93894859887.0,125062665559.0,133022973708.0,20198182500.0,190844102281.0,296909084224.0,,,
108,102113,경인양행,12610,2018,,,,,146670857358.0,18734771032.0,179741147375.0,,,127936086326.0,165167109575.0,138420160763.0,20198182500.0,198237399592.0,344908256950.0,,,
109,102113,경인양행,12610,2019,,,,,179977210521.0,25620017448.0,208443206310.0,,,154357193073.0,172620331192.0,141210051662.0,20393182500.0,201086326981.0,381063537502.0,,,
110,102113,경인양행,12610,2020,,,,,194513287178.0,41794586318.0,221869275936.0,,,152718700860.0,164228540276.0,128953013356.0,20638182500.0,191584529034.0,386097816212.0,,,
111,102113,경인양행,12610,2021,,,,,253803643975.0,29167610825.0,227365610108.0,,,224636033150.0,234748519987.0,144909779939.0,20788182500.0,208310486120.0,462114130095.0,,,
112,102113,경인양행,12610,2022,,,,,184473493744.0,23519044504.0,230759578442.0,,,160954449240.0,166951935030.0,150510869261.0,20808182500.0,213238019728.0,397711513472.0,,,
113,102113,경인양행,12610,2023,,,,,185593639594.0,17582686975.0,206858520013.0,,,168010952619.0,171817318163.0,130291709780.0,20808182500.0,193082198582.0,378675838176.0,,,
114,102140,경인전자,9140,2015,,,,,2891937956.0,768320806.0,37384769944.0,,,2123617150.0,19772436499.0,34179034388.0,,54265268487.0,57157206443.0,,,
115,102140,경인전자,9140,2016,,,,,2659010059.0,284703032.0,29465532040.0,,,2374307027.0,26719153664.0,33617153230.0,,53525675645.0,56184685704.0,,,
116,102140,경인전자,9140,2017,,,,,1965701930.0,604419231.0,25458131478.0,,,1361282699.0,30342433848.0,32712006008.0,7853985000.0,53834863396.0,55800565326.0,,,
117,102140,경인전자,9140,2018,,,,,1536569697.0,587110306.0,26008636928.0,,,949459391.0,28447427814.0,32519956599.0,7853985000.0,52919495045.0,54456064742.0,,,
118,102140,경인전자,9140,2019,,,,,1777568070.0,485793289.0,24973272696.0,,,1291774781.0,29287176452.0,32430591102.0,7853985000.0,52482881078.0,54260449148.0,,,
119,102140,경인전자,9140,2020,,,,,2796345668.0,1237130315.0,24644723751.0,,,1559215353.0,28760315716.0,31231743140.0,7853985000.0,50608693799.0,53405039467.0,,,
120,102140,경인전자,9140,2021,,,,,4840500292.0,1260230300.0,28002641607.0,,,3580269992.0,29235348460.0,32916804035.0,7853985000.0,52397489775.0,57237990067.0,,,
121,102140,경인전자,9140,2022,,,,,3689959348.0,1304855818.0,25750344105.0,,,2385103530.0,35915865628.0,38048157616.0,7853985000.0,57976250385.0,61666209733.0,,,
122,102140,경인전자,9140,2023,,,,,3635113537.0,1550543925.0,27396946515.0,,,2084569612.0,37473486504.0,40645302504.0,7853985000.0,61235319482.0,64870433019.0,,,
123,102353,경창산업,24910,2015,,,,,356661547188.0,141360425754.0,338162868017.0,,,215301121434.0,123686615700.0,72870962893.0,,105187936529.0,461849483717.0,,,
124,102353,경창산업,24910,2016,,,,,381694281839.0,125033333828.0,366888953954.0,,,256660948011.0,133324252450.0,84846907329.0,,118518924565.0,500213206404.0,,,
125,102353,경창산업,24910,2017,,,,,395872948973.0,123079437647.0,433443191741.0,,,272793511326.0,121857979352.0,64578342508.0,8780000000.0,159428222120.0,555301171093.0,,,
126,102353,경창산업,24910,2018,,,,,392519947313.0,142162335390.0,389435050457.0,,,250357611923.0,117289965200.0,10622827856.0,17909502500.0,114205068344.0,506725015657.0,,,
127,102353,경창산업,24910,2019,,,,,395200780830.0,133108168940.0,333322963511.0,,,262092611890.0,118692775631.0,-35358663799.0,17909502500.0,56814958312.0,452015739142.0,,,
128,102353,경창산업,24910,2020,,,,,358778944214.0,121280573808.0,311970762177.0,,,237498370406.0,110655009859.0,-27454676289.0,17909502500.0,63846827822.0,422625772036.0,,,
129,102353,경창산업,24910,2021,,,,,342412082511.0,128877032955.0,297384119378.0,,,213535049556.0,115708744293.0,-21364952079.0,17909502500.0,70680781160.0,413092863671.0,,,
130,102353,경창산업,24910,2022,,,,,312693750818.0,106575937429.0,287697296965.0,,,206117813389.0,128885223045.0,11137737378.0,17909502500.0,103888769192.0,416582520010.0,,,
131,102353,경창산업,24910,2023,,,,,303897560536.0,90565693406.0,287588599145.0,,,213331867130.0,129622302979.0,22891952312.0,17909502500.0,113313341588.0,417210902124.0,,,
132,102432,계룡건설산업,13580,2015,,,,,734395842293.0,108405572788.0,447146927567.0,,,625990269505.0,536501445323.0,194316718243.0,44654535000.0,249252530597.0,983648372890.0,,,
133,102432,계룡건설산업,13580,2016,,,,,882847352240.0,102849577866.0,475984655398.0,,,779997774374.0,671944642649.0,209820108886.0,44654535000.0,265081945807.0,1147929298047.0,,,
134,102432,계룡건설산업,13580,2017,,,,,908787404349.0,194059085318.0,532374985853.0,,,714728319031.0,683431891810.0,251372858137.0,44654535000.0,307019473314.0,1215806877663.0,,,
135,102432,계룡건설산업,13580,2018,,,,,982257089946.0,237196251537.0,593494169780.0,,,745060838409.0,726631997514.0,286059728847.0,44654535000.0,337869077348.0,1320126167294.0,,,
