corp_name,bsns_year,부채총계,비유동자산,유동자산,자본총계,자산총계
DRB동일,2017,240358582330.0,376373416044.0,301053030465.0,437067864179.0,677426446509.0
DRB동일,2018,267955159678.0,406890526176.0,307345462559.0,446280829057.0,714235988735.0
DRB동일,2019,283757306556.0,425497820076.0,319781106444.0,461521619964.0,745278926520.0
DRB동일,2020,312819481260.0,416082643006.0,360352120076.0,463615281822.0,776434763082.0
DRB동일,2021,356400809939.0,447118709679.0,384837852730.0,475555752470.0,831956562409.0
DRB동일,2022,465469810224.0,469546420844.0,475692073884.0,479768684504.0,945238494728.0
DSR,2015,55025710316.0,67650306030.0,109629412092.0,122254007806.0,177279718122.0
DSR,2016,62216590405.0,73642823239.0,122081307587.0,133507540421.0,195724130826.0
DSR,2017,87396531968.0,110302376575.0,117974861993.0,140880706600.0,228277238568.0
DSR,2018,77555224348.0,106098780598.0,118932512525.0,147476068775.0,225031293123.0
DSR,2019,85074300200.0,116713602866.0,123696803929.0,155336106595.0,240410406795.0
DSR,2020,89984972820.0,118109770191.0,134827677194.0,162952474565.0,252937447385.0
DSR,2021,124579417803.0,116861124320.0,185737507109.0,178019213626.0,302598631429.0
DSR,2022,162383840472.0,188648995411.0,176061391451.0,202326546390.0,364710386862.0
DSR제강,2015,66215489550.0,112627860175.0,71656759229.0,118069129854.0,184284619404.0
DSR제강,2016,63775622584.0,109706383877.0,80502011029.0,126432772322.0,190208394906.0
DSR제강,2017,66034487701.0,111243860999.0,84846931110.0,130056304408.0,196090792109.0
DSR제강,2018,69290286093.0,115570609263.0,89863233383.0,136143556553.0,205433842646.0
DSR제강,2019,59774431978.0,117178315181.0,84455208499.0,141859091702.0,201633523680.0
DSR제강,2020,59997585302.0,119619086954.0,86633728790.0,146255230442.0,206252815744.0
DSR제강,2021,87876177148.0,119170212233.0,122540527160.0,153834562245.0,241710739393.0
DSR제강,2022,76302600310.0,132211111309.0,127187045613.0,183095556612.0,259398156922.0
DXVX,2015,614800815.0,7049362796.0,15123968600.0,21558530581.0,22173331396.0
