,회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),비유동자산(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),자본금(*)(IFRS)(천원),이익잉여금(결손금)(*)(IFRS)(천원),부채(*)(IFRS)(천원),비유동부채 (*)(IFRS)(천원),유동부채(*)(IFRS)(천원),현금및현금성자산(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원),기초 현금및현금성자산(IFRS)(천원),기말 현금및현금성자산(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),매출총이익(손실)(IFRS)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),매출원가(*)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),재고자산(*)(IFRS)(천원),매출채권(IFRS)(천원),매출채권 및 기타유동채권(*)(IFRS)(천원),상장폐지일
18448,소프트캠프(주),258790 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,
18449,소프트캠프(주),210610 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,2019/12/30
18450,소프트캠프(주),258790 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,
18451,소프트캠프(주),210610 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,2019/12/30
18452,소프트캠프(주),258790 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,
18453,소프트캠프(주),210610 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,2019/12/30
18478,솔트웨어(주),328380 ,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,
18479,솔트웨어(주),328380 ,2020/12,,,,,,,,,,,,,,,,,,,,,,,,,
18480,솔트웨어(주),328380 ,2021/12,,,,,,,,,,,,,,,,,,,,,,,,,
18503,슈어소프트테크(주),298830 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,
18504,슈어소프트테크(주),298830 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,
18505,슈어소프트테크(주),298830 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,
18506,슈어소프트테크(주),298830 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,
18507,슈어소프트테크(주),298830 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,
18508,슈어소프트테크(주),298830 ,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,
18513,스탠다드펌(주),179280 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,2015/04/30
18595,신성에스티(주),416180 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,
18596,신성에스티(주),416180 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,
18597,신성에스티(주),416180 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,
18598,신성에스티(주),416180 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,
18599,신성에스티(주),416180 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,
18600,신성에스티(주),416180 ,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,
18601,신성에스티(주),416180 ,2020/12,,,,,,,,,,,,,,,,,,,,,,,,,
18602,신성에스티(주),416180 ,2021/12,,,,,,,,,,,,,,,,,,,,,,,,,
18715,쓰리에이로직스(주),177900 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,
18716,쓰리에이로직스(주),177900 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,
18717,쓰리에이로직스(주),177900 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,
18718,쓰리에이로직스(주),177900 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,
18719,쓰리에이로직스(주),177900 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,
18720,쓰리에이로직스(주),177900 ,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,
18721,쓰리에이로직스(주),177900 ,2020/12,,,,,,,,,,,,,,,,,,,,,,,,,
18722,쓰리에이로직스(주),177900 ,2021/12,,,,,,,,,,,,,,,,,,,,,,,,,
18723,쓰리에이로직스(주),177900 ,2022/12,,,,,,,,,,,,,,,,,,,,,,,,,
18725,씨싸이트(주),109670 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,
